Serial,Gender,Ethinicity,Minority,Deprived
1087360,Female or unknown,White,no,no
1088938,Female or unknown,Other or unknown,yes,no
1088953,Female or unknown,Other or unknown,yes,no
1088961,Female or unknown,Other or unknown,yes,no
1089147,Female or unknown,Other or unknown,yes,no
1089174,Female or unknown,Other or unknown,yes,no
1102723,Female or unknown,Other or unknown,yes,yes
1093996,Female or unknown,Other or unknown,yes,no
1094049,Female or unknown,White,no,no
1094067,Female or unknown,White,no,no
1097484,Female or unknown,Other or unknown,yes,yes
1097834,Female or unknown,Other or unknown,yes,no
1099121,Female or unknown,Other or unknown,yes,no
1099277,Female or unknown,White,no,no
1099645,Female or unknown,Other or unknown,yes,yes
1074769,Female or unknown,Other or unknown,yes,no
1074847,Female or unknown,Other or unknown,yes,no
1074858,Female or unknown,Other or unknown,yes,no
1074932,Female or unknown,Other or unknown,yes,no
1081918,Female or unknown,Other or unknown,yes,no
1092867,Female or unknown,Other or unknown,yes,yes
1102257,Female or unknown,Other or unknown,yes,no
1102259,Female or unknown,White,no,no
1104169,Female or unknown,White,no,no
1104181,Female or unknown,White,no,no
1108809,Female or unknown,Other or unknown,yes,no
1109048,Female or unknown,Other or unknown,yes,no
1111635,Female or unknown,Other or unknown,yes,yes
1114201,Female or unknown,Other or unknown,yes,no
1098927,Female or unknown,Other or unknown,yes,no
1104579,Female or unknown,Other or unknown,yes,no
1104614,Female or unknown,Other or unknown,yes,no
1104624,Female or unknown,Other or unknown,yes,no
1105780,Female or unknown,White,no,no
1105881,Female or unknown,Other or unknown,yes,no
1105914,Female or unknown,Other or unknown,yes,no
1106510,Female or unknown,Other or unknown,yes,yes
1115168,Female or unknown,Other or unknown,yes,yes
1118052,Female or unknown,Other or unknown,yes,no
1075826,Female or unknown,Other or unknown,yes,no
1075874,Female or unknown,Other or unknown,yes,no
1075936,Female or unknown,White,no,no
1076030,Female or unknown,White,no,no
1078265,Female or unknown,Other or unknown,yes,no
1078324,Female or unknown,Other or unknown,yes,no
1078384,Female or unknown,Other or unknown,yes,no
1078428,Female or unknown,Other or unknown,yes,no
1078514,Female or unknown,Other or unknown,yes,no
1086277,Female or unknown,Other or unknown,yes,yes
1089298,Female or unknown,Other or unknown,yes,yes
1108737,Female or unknown,Other or unknown,yes,no
1081145,Female or unknown,Other or unknown,yes,no
1081165,Female or unknown,White,no,no
1081170,Female or unknown,White,no,no
1081182,Female or unknown,White,no,no
1082848,Female or unknown,Other or unknown,yes,no
1108238,Female or unknown,Other or unknown,yes,yes
1111452,Female or unknown,Other or unknown,yes,yes
1113005,Female or unknown,White,no,yes
1113006,Female or unknown,Other or unknown,yes,yes
1113013,Female or unknown,Other or unknown,yes,yes
1118366,Female or unknown,Other or unknown,yes,no
1118486,Female or unknown,Other or unknown,yes,no
1118555,Female or unknown,Other or unknown,yes,no
1119072,Female or unknown,Other or unknown,yes,no
1119398,Female or unknown,Other or unknown,yes,yes
1119414,Female or unknown,White,no,yes
1120110,Female or unknown,Other or unknown,yes,yes
1096123,Female or unknown,Other or unknown,yes,no
1096137,Female or unknown,Other or unknown,yes,no
1096159,Female or unknown,White,no,no
1096223,Female or unknown,Other or unknown,yes,no
1096243,Female or unknown,Other or unknown,yes,no
1096315,Female or unknown,Other or unknown,yes,no
1100422,Female or unknown,Other or unknown,yes,no
1100455,Female or unknown,Other or unknown,yes,no
1101989,Female or unknown,White,no,yes
1102013,Female or unknown,White,no,yes
1109680,Female or unknown,Other or unknown,yes,no
1109685,Female or unknown,Other or unknown,yes,no
1111484,Female or unknown,Other or unknown,yes,yes
1111498,Female or unknown,Other or unknown,yes,yes
1114684,Female or unknown,Other or unknown,yes,no
1114862,Female or unknown,Other or unknown,yes,no
1114994,Female or unknown,Other or unknown,yes,no
1114996,Female or unknown,Other or unknown,yes,no
1115025,Female or unknown,Other or unknown,yes,no
1115627,Female or unknown,Other or unknown,yes,no
1115638,Female or unknown,Other or unknown,yes,no
1115677,Female or unknown,Other or unknown,yes,no
1115911,Female or unknown,Other or unknown,yes,no
1118113,Female or unknown,Other or unknown,yes,yes
1118670,Female or unknown,Other or unknown,yes,yes
1119476,Female or unknown,Other or unknown,yes,no
1119905,Female or unknown,Other or unknown,yes,yes
1120033,Female or unknown,Other or unknown,yes,no
1120091,Female or unknown,Other or unknown,yes,yes
1114127,Female or unknown,Other or unknown,yes,no
1114128,Female or unknown,Other or unknown,yes,no
1114512,Female or unknown,White,no,no
1114627,Female or unknown,White,no,no
1117316,Female or unknown,Other or unknown,yes,no
1116632,Female or unknown,White,no,no
1117086,Female or unknown,Other or unknown,yes,no
1118169,Female or unknown,Other or unknown,yes,yes
1118187,Female or unknown,White,no,yes
1118202,Female or unknown,White,no,yes
1119563,Female or unknown,Other or unknown,yes,no
1119872,Female or unknown,Other or unknown,yes,no
1119969,Female or unknown,Other or unknown,yes,yes
1113900,Female or unknown,Other or unknown,yes,no
1113949,Female or unknown,Other or unknown,yes,no
1113957,Female or unknown,Other or unknown,yes,no
1113991,Female or unknown,Other or unknown,yes,no
1115256,Female or unknown,White,no,yes
1115283,Female or unknown,Other or unknown,yes,yes
1116235,Female or unknown,Other or unknown,yes,yes
1116264,Female or unknown,Other or unknown,yes,yes
1096786,Female or unknown,White,no,no
1096822,Female or unknown,White,no,no
1098441,Female or unknown,Other or unknown,yes,no
1111065,Female or unknown,Asian,yes,yes
1102275,Female or unknown,Other or unknown,yes,no
1102413,Female or unknown,Other or unknown,yes,no
1107151,Female or unknown,Other or unknown,yes,yes
1108623,Female or unknown,Other or unknown,yes,yes
1108659,Female or unknown,Mixed,yes,yes
1107681,Female or unknown,Other or unknown,yes,no
1108359,Female or unknown,White,no,no
1108368,Female or unknown,Other or unknown,yes,no
1108487,Female or unknown,White,no,no
1108494,Female or unknown,Other or unknown,yes,no
1110916,Female or unknown,Other or unknown,yes,yes
1111362,Female or unknown,Other or unknown,yes,yes
1111428,Female or unknown,Other or unknown,yes,yes
1089364,Female or unknown,Other or unknown,yes,no
1093277,Female or unknown,Other or unknown,yes,no
1095637,Female or unknown,Asian,yes,yes
1097548,Female or unknown,Other or unknown,yes,yes
1099006,Female or unknown,Other or unknown,yes,yes
1112206,Female or unknown,Other or unknown,yes,yes
1101156,Female or unknown,Other or unknown,yes,no
1101321,Female or unknown,Other or unknown,yes,no
1105416,Female or unknown,Other or unknown,yes,no
1109781,Female or unknown,Other or unknown,yes,no
1112969,Female or unknown,Other or unknown,yes,yes
1104736,Female or unknown,Other or unknown,yes,no
1104796,Female or unknown,Other or unknown,yes,no
1104808,Female or unknown,Other or unknown,yes,no
1105194,Female or unknown,Other or unknown,yes,no
1105208,Female or unknown,White,no,no
1105209,Female or unknown,Other or unknown,yes,no
1105294,Female or unknown,Other or unknown,yes,no
1109148,Female or unknown,White,no,yes
1109332,Female or unknown,Mixed,yes,no
1109341,Female or unknown,Other or unknown,yes,no
1110792,Female or unknown,Other or unknown,yes,yes
1092128,Female or unknown,Other or unknown,yes,no
1092135,Female or unknown,Other or unknown,yes,no
1092173,Female or unknown,Other or unknown,yes,no
1092193,Female or unknown,Other or unknown,yes,no
1092334,Female or unknown,Other or unknown,yes,no
1092379,Female or unknown,Other or unknown,yes,no
1092692,Female or unknown,Other or unknown,yes,no
1096477,Female or unknown,Black,yes,no
1097410,Female or unknown,Other or unknown,yes,yes
1097411,Female or unknown,Other or unknown,yes,yes
1108252,Female or unknown,Other or unknown,yes,no
1109072,Female or unknown,Other or unknown,yes,no
1076113,Female or unknown,Other or unknown,yes,no
1088098,Female or unknown,Other or unknown,yes,no
1088402,Female or unknown,Other or unknown,yes,no
1090043,Female or unknown,White,no,no
1107796,Female or unknown,White,no,no
1109861,Female or unknown,Other or unknown,yes,no
1110057,Female or unknown,Other or unknown,yes,no
1113196,Female or unknown,Other or unknown,yes,no
1114072,Female or unknown,Other or unknown,yes,no
1100822,Female or unknown,Other or unknown,yes,no
1100850,Female or unknown,White,no,no
1100992,Female or unknown,White,no,no
1103265,Female or unknown,Other or unknown,yes,no
1107252,Female or unknown,White,no,yes
1111823,Female or unknown,Other or unknown,yes,no
1112037,Female or unknown,White,no,no
1112077,Female or unknown,White,no,no
1112579,Female or unknown,Other or unknown,yes,no
1112715,Female or unknown,Other or unknown,yes,no
1112774,Female or unknown,Other or unknown,yes,no
1112826,Female or unknown,Other or unknown,yes,no
1117834,Female or unknown,White,no,no
1084695,Female or unknown,Other or unknown,yes,no
1085190,Female or unknown,Other or unknown,yes,no
1085421,Female or unknown,Other or unknown,yes,no
1085453,Female or unknown,Other or unknown,yes,no
1095287,Female or unknown,Other or unknown,yes,yes
1099777,Female or unknown,White,no,no
1099992,Female or unknown,Other or unknown,yes,no
1103826,Female or unknown,Other or unknown,yes,no
1109618,Female or unknown,Other or unknown,yes,yes
1113245,Female or unknown,Other or unknown,yes,yes
1088720,Female or unknown,Other or unknown,yes,no
1091300,Female or unknown,Other or unknown,yes,yes
1091366,Female or unknown,White,no,yes
1082517,Female or unknown,Other or unknown,yes,no
1086338,Female or unknown,Other or unknown,yes,yes
1091875,Female or unknown,Other or unknown,yes,no
1091919,Female or unknown,Other or unknown,yes,no
1094441,Female or unknown,Other or unknown,yes,yes
1098675,Female or unknown,Other or unknown,yes,no
1098769,Female or unknown,Other or unknown,yes,no
1098775,Female or unknown,Other or unknown,yes,no
1102735,Female or unknown,Other or unknown,yes,yes
1102827,Female or unknown,Other or unknown,yes,yes
1102836,Female or unknown,Other or unknown,yes,yes
1102849,Female or unknown,White,no,yes
1102894,Female or unknown,Other or unknown,yes,yes
1102948,Female or unknown,Other or unknown,yes,yes
1102952,Female or unknown,Other or unknown,yes,yes
1108109,Female or unknown,Other or unknown,yes,no
1059590,Female or unknown,Other or unknown,yes,no
1059617,Female or unknown,White,no,no
1059787,Female or unknown,White,no,no
1070042,Female or unknown,Other or unknown,yes,no
1071038,Female or unknown,Other or unknown,yes,yes
1071074,Female or unknown,White,no,yes
1006075,Female or unknown,Other or unknown,yes,no
1011179,Female or unknown,Other or unknown,yes,no
1011264,Female or unknown,Other or unknown,yes,no
1033187,Female or unknown,Other or unknown,yes,yes
1033192,Female or unknown,Other or unknown,yes,yes
1041755,Female or unknown,Other or unknown,yes,no
1041833,Female or unknown,Other or unknown,yes,no
1043628,Female or unknown,Other or unknown,yes,yes
1053020,Female or unknown,White,no,no
1053138,Female or unknown,Other or unknown,yes,no
1053168,Female or unknown,Other or unknown,yes,no
1058576,Female or unknown,Other or unknown,yes,no
1058610,Female or unknown,Other or unknown,yes,no
1058737,Female or unknown,White,no,no
1067363,Female or unknown,Other or unknown,yes,yes
1068518,Female or unknown,White,no,yes
1090185,Female or unknown,Other or unknown,yes,yes
1093885,Female or unknown,Other or unknown,yes,yes
1093898,Female or unknown,Other or unknown,yes,yes
1035713,Female or unknown,Other or unknown,yes,no
1035830,Female or unknown,Other or unknown,yes,no
1035899,Female or unknown,Other or unknown,yes,no
1035905,Female or unknown,Other or unknown,yes,no
1038220,Female or unknown,White,no,no
1038242,Female or unknown,Other or unknown,yes,no
1038357,Female or unknown,White,no,no
1038365,Female or unknown,Other or unknown,yes,no
1038427,Female or unknown,Other or unknown,yes,no
1038468,Female or unknown,Other or unknown,yes,no
1046089,Female or unknown,Other or unknown,yes,yes
1046099,Female or unknown,Other or unknown,yes,yes
1046130,Female or unknown,Other or unknown,yes,yes
1046183,Female or unknown,Other or unknown,yes,yes
1060086,Female or unknown,Other or unknown,yes,no
1060124,Female or unknown,Other or unknown,yes,no
1060132,Female or unknown,Other or unknown,yes,no
1066733,Female or unknown,Other or unknown,yes,no
1066736,Female or unknown,Other or unknown,yes,no
1066792,Female or unknown,Other or unknown,yes,no
1066833,Female or unknown,Other or unknown,yes,no
1066972,Female or unknown,Other or unknown,yes,no
1091979,Female or unknown,Other or unknown,yes,no
1095563,Female or unknown,Other or unknown,yes,yes
1103302,Female or unknown,Other or unknown,yes,yes
1103306,Female or unknown,Other or unknown,yes,yes
1046512,Female or unknown,Other or unknown,yes,no
1046547,Female or unknown,Other or unknown,yes,no
1051924,Female or unknown,Other or unknown,yes,no
1077006,Female or unknown,Other or unknown,yes,yes
1082258,Female or unknown,Other or unknown,yes,yes
1065755,Female or unknown,Other or unknown,yes,yes
1067950,Female or unknown,Other or unknown,yes,yes
1067999,Female or unknown,Other or unknown,yes,yes
1073172,Female or unknown,Other or unknown,yes,yes
1073174,Female or unknown,Other or unknown,yes,yes
1073214,Female or unknown,Other or unknown,yes,yes
1083370,Female or unknown,Other or unknown,yes,yes
1049176,Female or unknown,Asian,yes,no
1052836,Female or unknown,Other or unknown,yes,no
1058803,Female or unknown,Other or unknown,yes,no
1058811,Female or unknown,Other or unknown,yes,no
1071871,Female or unknown,Other or unknown,yes,yes
1071880,Female or unknown,Other or unknown,yes,yes
1073511,Female or unknown,Other or unknown,yes,yes
1073521,Female or unknown,Other or unknown,yes,yes
1074386,Female or unknown,Other or unknown,yes,no
1085827,Female or unknown,Other or unknown,yes,yes
1030737,Female or unknown,Black,yes,yes
1030808,Female or unknown,Other or unknown,yes,yes
1050126,Female or unknown,Other or unknown,yes,yes
1031257,Female or unknown,Other or unknown,yes,yes
1033119,Female or unknown,Other or unknown,yes,no
1042306,Female or unknown,Mixed,yes,yes
1046966,Female or unknown,Other or unknown,yes,yes
1056730,Female or unknown,Other or unknown,yes,yes
1001004,Female or unknown,Other or unknown,yes,no
1018416,Female or unknown,Other or unknown,yes,no
1027872,Female or unknown,Other or unknown,yes,yes
1045934,Female or unknown,Other or unknown,yes,no
1049321,Female or unknown,Other or unknown,yes,yes
1067077,Female or unknown,Other or unknown,yes,yes
1071748,Female or unknown,Other or unknown,yes,yes
1071756,Female or unknown,Other or unknown,yes,yes
1005844,Female or unknown,White,no,no
1005886,Female or unknown,Other or unknown,yes,no
1005933,Female or unknown,Other or unknown,yes,no
1055539,Female or unknown,Asian,yes,yes
1061296,Female or unknown,Other or unknown,yes,yes
1061302,Female or unknown,Other or unknown,yes,yes
1072876,Female or unknown,Other or unknown,yes,yes
1077338,Female or unknown,Other or unknown,yes,yes
1077357,Female or unknown,Other or unknown,yes,yes
1077378,Female or unknown,Other or unknown,yes,yes
1091138,Female or unknown,Other or unknown,yes,yes
1034527,Female or unknown,Other or unknown,yes,no
1040297,Female or unknown,Other or unknown,yes,yes
1040466,Female or unknown,Other or unknown,yes,yes
1050435,Female or unknown,Other or unknown,yes,yes
1060632,Female or unknown,Other or unknown,yes,yes
1060703,Female or unknown,Other or unknown,yes,yes
1089758,Female or unknown,Other or unknown,yes,yes
1002525,Female or unknown,Other or unknown,yes,yes
1002546,Female or unknown,Other or unknown,yes,yes
1080745,Female or unknown,Other or unknown,yes,yes
1090354,Female or unknown,Other or unknown,yes,no
1025492,Female or unknown,Other or unknown,yes,yes
1025551,Female or unknown,Black,yes,yes
1025573,Female or unknown,Black,yes,yes
1035413,Female or unknown,Other or unknown,yes,yes
1035446,Female or unknown,Other or unknown,yes,yes
1035457,Female or unknown,Other or unknown,yes,yes
1035474,Female or unknown,Other or unknown,yes,yes
1035484,Female or unknown,Other or unknown,yes,yes
1035513,Female or unknown,Other or unknown,yes,yes
1035523,Female or unknown,Other or unknown,yes,yes
1038539,Female or unknown,White,no,yes
1038588,Female or unknown,Other or unknown,yes,yes
1044196,Female or unknown,Black,yes,yes
1022086,Female or unknown,Other or unknown,yes,yes
1076248,Female or unknown,Other or unknown,yes,no
1082160,Female or unknown,Other or unknown,yes,yes
1082169,Female or unknown,Other or unknown,yes,yes
1015725,Female or unknown,Other or unknown,yes,no
1015745,Female or unknown,Other or unknown,yes,no
1028968,Female or unknown,Other or unknown,yes,yes
1032198,Female or unknown,Other or unknown,yes,yes
1043358,Female or unknown,Black,yes,yes
1043407,Female or unknown,Other or unknown,yes,yes
1069772,Female or unknown,Other or unknown,yes,yes
1069803,Female or unknown,Other or unknown,yes,yes
1078641,Female or unknown,Other or unknown,yes,yes
1027011,Female or unknown,Other or unknown,yes,yes
1027022,Female or unknown,Black,yes,yes
1045083,Female or unknown,Other or unknown,yes,yes
1045565,Female or unknown,Other or unknown,yes,yes
1083722,Female or unknown,Other or unknown,yes,yes
1031027,Female or unknown,Other or unknown,yes,no
1028603,Female or unknown,Other or unknown,yes,yes
1031285,Female or unknown,Other or unknown,yes,yes
1047550,Female or unknown,Other or unknown,yes,yes
1056855,Female or unknown,Other or unknown,yes,no
1059036,Female or unknown,Other or unknown,yes,no
1066053,Female or unknown,Other or unknown,yes,yes
1066080,Female or unknown,Other or unknown,yes,yes
1070426,Female or unknown,Asian,yes,yes
1084049,Female or unknown,Other or unknown,yes,yes
1026644,Female or unknown,Black,yes,yes
1026653,Female or unknown,Black,yes,yes
1026686,Female or unknown,Other or unknown,yes,yes
1026696,Female or unknown,Black,yes,yes
1029868,Female or unknown,Other or unknown,yes,no
1030100,Female or unknown,Other or unknown,yes,yes
1060431,Female or unknown,Other or unknown,yes,yes
1066156,Female or unknown,Other or unknown,yes,yes
1014036,Female or unknown,Other or unknown,yes,no
1017418,Female or unknown,Mixed,yes,yes
1017422,Female or unknown,Other or unknown,yes,yes
1017432,Female or unknown,Asian,yes,yes
1017448,Female or unknown,Other or unknown,yes,yes
1023774,Female or unknown,Other or unknown,yes,yes
1023775,Female or unknown,White,no,yes
1037353,Female or unknown,Asian,yes,yes
1037386,Female or unknown,Other or unknown,yes,yes
1047171,Female or unknown,Other or unknown,yes,yes
1047191,Female or unknown,Other or unknown,yes,yes
1073937,Female or unknown,Other or unknown,yes,yes
1003128,Female or unknown,Other or unknown,yes,no
1014922,Female or unknown,Mixed,yes,no
1023689,Female or unknown,Black,yes,yes
1023697,Female or unknown,Asian,yes,yes
1023710,Female or unknown,Other or unknown,yes,yes
1023728,Female or unknown,Other or unknown,yes,yes
1033060,Female or unknown,White,no,yes
1018017,Female or unknown,Other or unknown,yes,no
1033895,Female or unknown,Black,yes,yes
1006343,Female or unknown,White,no,no
1013862,Female or unknown,Other or unknown,yes,no
1049085,Female or unknown,Other or unknown,yes,no
1049128,Female or unknown,Other or unknown,yes,no
1069688,Female or unknown,Other or unknown,yes,yes
1080661,Female or unknown,Other or unknown,yes,no
1090803,Female or unknown,White,no,no
1094698,Female or unknown,Other or unknown,yes,yes
1101853,Female or unknown,Asian,yes,yes
1101942,Female or unknown,Other or unknown,yes,yes
1101957,Female or unknown,Other or unknown,yes,yes
1101962,Female or unknown,Other or unknown,yes,yes
1101965,Female or unknown,Other or unknown,yes,yes
1106011,Female or unknown,Other or unknown,yes,no
1107054,Female or unknown,Other or unknown,yes,yes
1112238,Female or unknown,Other or unknown,yes,yes
1047974,Female or unknown,Other or unknown,yes,no
1056203,Female or unknown,Other or unknown,yes,no
1067645,Female or unknown,Other or unknown,yes,yes
1073406,Female or unknown,Other or unknown,yes,yes
1073411,Female or unknown,Other or unknown,yes,yes
1075535,Female or unknown,Other or unknown,yes,no
1084832,Female or unknown,Other or unknown,yes,yes
1024903,Female or unknown,White,no,no
1035134,Female or unknown,Other or unknown,yes,no
1035236,Female or unknown,Other or unknown,yes,no
1055754,Female or unknown,Other or unknown,yes,no
1072983,Female or unknown,Other or unknown,yes,yes
1067584,Female or unknown,Other or unknown,yes,no
1067598,Female or unknown,Other or unknown,yes,no
1067745,Female or unknown,Other or unknown,yes,yes
1067763,Female or unknown,White,no,yes
1092900,Female or unknown,Other or unknown,yes,yes
1092907,Female or unknown,Other or unknown,yes,yes
1032602,Female or unknown,Other or unknown,yes,no
1060479,Female or unknown,Other or unknown,yes,no
1071658,Female or unknown,White,no,yes
1090649,Female or unknown,Other or unknown,yes,yes
1051348,Female or unknown,Asian,yes,no
1013717,Female or unknown,Other or unknown,yes,no
1020649,Female or unknown,Other or unknown,yes,no
1027600,Female or unknown,White,no,yes
1034191,Female or unknown,Other or unknown,yes,yes
1034257,Female or unknown,Other or unknown,yes,yes
1076673,Female or unknown,Other or unknown,yes,yes
1052233,Female or unknown,Other or unknown,yes,no
1062168,Female or unknown,Other or unknown,yes,no
1074087,Female or unknown,White,no,yes
1095535,Female or unknown,Other or unknown,yes,yes
1012266,Female or unknown,White,no,no
1012270,Female or unknown,Other or unknown,yes,no
1018874,Female or unknown,Other or unknown,yes,no
1018910,Female or unknown,Other or unknown,yes,no
1039721,Female or unknown,Other or unknown,yes,yes
1041241,Female or unknown,Other or unknown,yes,no
1043280,Female or unknown,Other or unknown,yes,no
1070505,Female or unknown,White,no,yes
1013255,Female or unknown,Other or unknown,yes,no
1013290,Female or unknown,Other or unknown,yes,no
1013371,Female or unknown,Other or unknown,yes,no
1013372,Female or unknown,Other or unknown,yes,no
1013447,Female or unknown,Other or unknown,yes,no
1015854,Female or unknown,Other or unknown,yes,no
1015978,Female or unknown,Other or unknown,yes,no
1016008,Female or unknown,Other or unknown,yes,no
1050665,Female or unknown,Other or unknown,yes,yes
1063249,Female or unknown,Other or unknown,yes,yes
1025813,Female or unknown,Other or unknown,yes,no
1025986,Female or unknown,Other or unknown,yes,no
1027248,Female or unknown,Other or unknown,yes,no
1027331,Female or unknown,Other or unknown,yes,no
1027416,Female or unknown,Other or unknown,yes,no
1027432,Female or unknown,Other or unknown,yes,no
1032459,Female or unknown,Other or unknown,yes,yes
1032475,Female or unknown,White,no,yes
1038510,Female or unknown,Other or unknown,yes,no
1040035,Female or unknown,Other or unknown,yes,yes
1044267,Female or unknown,Other or unknown,yes,no
1052681,Female or unknown,Other or unknown,yes,yes
1068932,Female or unknown,Other or unknown,yes,no
1074125,Female or unknown,Other or unknown,yes,yes
1074128,Female or unknown,White,no,yes
1015760,Female or unknown,Other or unknown,yes,yes
1029044,Female or unknown,Other or unknown,yes,yes
1036117,Female or unknown,White,no,no
1084251,Female or unknown,Other or unknown,yes,no
1014447,Female or unknown,White,no,no
1014566,Female or unknown,White,no,no
1021852,Female or unknown,Other or unknown,yes,no
1022000,Female or unknown,Other or unknown,yes,no
1023816,Female or unknown,Other or unknown,yes,no
1026441,Female or unknown,Other or unknown,yes,no
1031617,Female or unknown,Asian,yes,no
1036859,Female or unknown,White,no,yes
1044399,Female or unknown,Asian,yes,yes
1026133,Female or unknown,Other or unknown,yes,yes
1035589,Female or unknown,White,no,yes
1035627,Female or unknown,White,no,yes
1035647,Female or unknown,Other or unknown,yes,yes
1040116,Female or unknown,Other or unknown,yes,yes
1040138,Female or unknown,Other or unknown,yes,yes
1040139,Female or unknown,Other or unknown,yes,yes
1057357,Female or unknown,White,no,yes
1065230,Female or unknown,Other or unknown,yes,yes
1061454,Female or unknown,White,no,yes
1065445,Female or unknown,Other or unknown,yes,no
1070545,Female or unknown,Other or unknown,yes,no
1070552,Female or unknown,Other or unknown,yes,no
1086156,Female or unknown,Other or unknown,yes,yes
1086622,Female or unknown,Other or unknown,yes,yes
1078894,Female or unknown,Other or unknown,yes,yes
1078896,Female or unknown,Other or unknown,yes,yes
1078932,Female or unknown,Black,yes,yes
1090673,Female or unknown,Other or unknown,yes,yes
1092760,Female or unknown,Other or unknown,yes,no
1092765,Female or unknown,Other or unknown,yes,no
1068655,Female or unknown,Mixed,yes,no
1068700,Female or unknown,Other or unknown,yes,no
1071546,Female or unknown,Other or unknown,yes,no
1081398,Female or unknown,Other or unknown,yes,yes
1083280,Female or unknown,Other or unknown,yes,yes
1083281,Female or unknown,Other or unknown,yes,yes
1085592,Female or unknown,Other or unknown,yes,yes
1085637,Female or unknown,Other or unknown,yes,yes
1095700,Female or unknown,Other or unknown,yes,yes
1106484,Female or unknown,Other or unknown,yes,yes
1028296,Female or unknown,Asian,yes,no
1029542,Female or unknown,Other or unknown,yes,no
1029569,Female or unknown,Other or unknown,yes,no
1039787,Female or unknown,Other or unknown,yes,yes
1041980,Female or unknown,Other or unknown,yes,yes
1041988,Female or unknown,White,no,yes
1060884,Female or unknown,Other or unknown,yes,no
1063809,Female or unknown,Other or unknown,yes,yes
1065097,Female or unknown,Other or unknown,yes,yes
1065135,Female or unknown,Other or unknown,yes,yes
1079025,Female or unknown,Other or unknown,yes,yes
1084424,Female or unknown,Other or unknown,yes,no
1095311,Female or unknown,Other or unknown,yes,no
1046255,Female or unknown,Other or unknown,yes,no
1047645,Female or unknown,Other or unknown,yes,no
1050619,Female or unknown,Other or unknown,yes,no
1064136,Female or unknown,Other or unknown,yes,yes
1068182,Female or unknown,Other or unknown,yes,no
1072618,Female or unknown,Other or unknown,yes,yes
1074146,Female or unknown,Other or unknown,yes,no
1074184,Female or unknown,Other or unknown,yes,no
1000097,Female or unknown,White,no,no
1000141,Female or unknown,Other or unknown,yes,no
1000233,Female or unknown,Other or unknown,yes,no
1012837,Female or unknown,Other or unknown,yes,no
1012894,Female or unknown,Other or unknown,yes,no
1012899,Female or unknown,Other or unknown,yes,no
1043079,Female or unknown,Other or unknown,yes,no
1002402,Female or unknown,Other or unknown,yes,yes
1016132,Female or unknown,Other or unknown,yes,no
1032027,Female or unknown,Other or unknown,yes,yes
1032041,Female or unknown,Other or unknown,yes,yes
1036040,Female or unknown,Other or unknown,yes,yes
1039118,Female or unknown,Other or unknown,yes,no
1042551,Female or unknown,Other or unknown,yes,yes
1115451,Female or unknown,White,no,yes
1116162,Female or unknown,Other or unknown,yes,yes
1117694,Female or unknown,Other or unknown,yes,yes
1117921,Female or unknown,Other or unknown,yes,yes
1118830,Female or unknown,Black,yes,yes
1118906,Female or unknown,Other or unknown,yes,yes
1004212,Female or unknown,Other or unknown,yes,no
1004217,Female or unknown,Other or unknown,yes,no
1004219,Female or unknown,Other or unknown,yes,no
1006638,Female or unknown,Other or unknown,yes,no
1006639,Female or unknown,Other or unknown,yes,no
1006664,Female or unknown,Other or unknown,yes,no
1009919,Female or unknown,Other or unknown,yes,yes
1010886,Female or unknown,Other or unknown,yes,yes
1017249,Female or unknown,Other or unknown,yes,yes
1042508,Female or unknown,Other or unknown,yes,yes
1015560,Female or unknown,White,no,no
1015566,Female or unknown,White,no,no
1028741,Female or unknown,Other or unknown,yes,yes
1028745,Female or unknown,Other or unknown,yes,yes
1083895,Female or unknown,Other or unknown,yes,yes
1083898,Female or unknown,Other or unknown,yes,yes
1083917,Female or unknown,Other or unknown,yes,yes
1083935,Female or unknown,Other or unknown,yes,yes
1086117,Female or unknown,Other or unknown,yes,no
1097366,Female or unknown,Other or unknown,yes,yes
1097773,Female or unknown,Asian,yes,yes
1104039,Female or unknown,Other or unknown,yes,no
1109655,Female or unknown,Other or unknown,yes,yes
1050278,Female or unknown,Other or unknown,yes,no
1056109,Female or unknown,White,no,yes
1083793,Female or unknown,Other or unknown,yes,yes
1018512,Female or unknown,White,no,no
1030553,Female or unknown,White,no,yes
1030601,Female or unknown,Other or unknown,yes,yes
1038776,Female or unknown,Other or unknown,yes,yes
1039333,Female or unknown,Other or unknown,yes,no
1039371,Female or unknown,Other or unknown,yes,no
1045012,Female or unknown,Other or unknown,yes,yes
1045032,Female or unknown,Other or unknown,yes,yes
1046896,Female or unknown,Other or unknown,yes,yes
1002167,Female or unknown,Other or unknown,yes,no
1008255,Female or unknown,Mixed,yes,yes
1008256,Female or unknown,Other or unknown,yes,yes
1024394,Female or unknown,Other or unknown,yes,no
1103423,Female or unknown,Other or unknown,yes,yes
1110440,Female or unknown,Other or unknown,yes,yes
1110444,Female or unknown,Other or unknown,yes,yes
1112194,Female or unknown,White,no,yes
1049760,Female or unknown,White,no,no
1060967,Female or unknown,White,no,yes
1068607,Female or unknown,Other or unknown,yes,no
1072760,Female or unknown,Other or unknown,yes,yes
1072767,Female or unknown,Other or unknown,yes,yes
1073631,Female or unknown,Other or unknown,yes,yes
1075207,Female or unknown,Other or unknown,yes,yes
1069529,Female or unknown,Other or unknown,yes,no
1075308,Female or unknown,Other or unknown,yes,no
1084913,Female or unknown,Other or unknown,yes,yes
