pid,recordedDate,surveyDuration,age,gender,ethnicity,birthCountry,residenceCountry,nationality,primaryLanguage,employment,eduLevel,csas,affectiveValence_1,wemwbs_1,wemwbs_2,wemwbs_3,wemwbs_4,wemwbs_5,wemwbs_6,wemwbs_7,wemwbs_8,wemwbs_9,wemwbs_10,wemwbs_11,wemwbs_12,wemwbs_13,wemwbs_14
p1809,2024-04-02T17:18:06Z,715,41,Woman,White,United States,United States,United States,English,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",7,75,4,3,3,3,4,4,3,3,4,3,3,3,5,3
p1813,2024-02-21T23:27:17Z,332,29,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,5,60,3,3,2,2,3,3,3,3,2,2,3,3,2,2
p1820,2024-02-12T16:29:45Z,710,20,Woman,Other,United States,United States,United States,English,Student,Some University but no degree,5,30,2,1,1,3,4,3,4,2,4,1,3,2,3,3
p1823,2024-02-28T15:32:42Z,747,27,Woman,Mixed,United States,United States,United States,English,Working full-time,University Bachelors Degree,8,76,3,3,2,4,2,3,3,4,3,3,3,3,3,3
p1828,2024-02-12T15:52:50Z,427,40,Man,White,United States,United States,United States,English,Working full-time,Some University but no degree,3,40,2,2,2,2,2,3,2,3,2,2,2,2,3,2
p1830,2024-02-13T15:54:54Z,632,34,Non-binary,White,United States,United States,United States,English,A homemaker or stay-at-home parent,Completed Secondary School,4,30,2,2,1,4,3,3,4,3,3,2,2,2,3,2
p1832,2024-02-12T16:53:20Z,1058,26,Man,Black,United States,United States,United States,English,Working part-time,Some University but no degree,3,49,2,3,2,3,3,3,3,3,3,3,4,3,3,3
p1838,2024-02-12T15:39:13Z,1280,39,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,3,85,5,5,3,5,3,5,5,5,4,5,5,5,4,4
p1851,2024-02-12T17:05:31Z,517,36,Man,White,United States,United States,United States,English,Not currently employed,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",5,50,3,2,2,3,2,3,3,2,3,2,2,2,3,2
p1855,2024-02-14T21:41:54Z,1793,39,Woman,White,United States,United States,United States,English,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",7,87,4,4,2,4,3,4,2,3,4,3,4,3,3,4
p1863,2024-02-12T19:19:03Z,581,29,Woman,Asian,United States,United States,United States,English,Not currently employed,Completed Secondary School,2,50,2,3,4,4,3,3,4,4,4,2,2,2,3,3
p1864,2024-02-15T00:00:21Z,504,24,Man,White,United States,United States,United States,English,Not currently employed,Some University but no degree,2,25,1,2,1,4,1,2,2,1,2,1,2,1,2,2
p1865,2024-02-12T21:36:26Z,399,26,Man,White,United States,United States,United States,English,Working full-time,Vocational or Similar,3,20,2,2,3,1,2,4,4,4,3,2,3,1,3,2
p1872,2024-02-14T08:22:40Z,631,22,Man,Asian,United States,United States,Philippines,English,Student,Some University but no degree,4,70,2,2,2,3,4,2,2,3,4,3,2,3,3,2
p1874,2024-02-12T18:39:09Z,455,39,Woman,White,United States,United States,United States,English,A homemaker or stay-at-home parent,Completed Secondary School,5,46,3,2,1,4,3,3,3,4,3,3,3,2,4,3
p1875,2024-02-12T16:31:55Z,912,31,Man,White,United States,United States,United States,English,Working full-time,Completed Secondary School,7,80,4,2,3,3,3,5,4,3,4,2,3,3,4,3
p1882,2024-02-13T15:57:16Z,480,37,Woman,White,United States,United States,United States,English,Student,Some University but no degree,0,25,1,2,2,3,1,3,3,2,2,3,2,2,2,2
p1884,2024-02-20T00:07:02Z,345,25,Man,Asian,United States,United States,United States,English,Working full-time,Vocational or Similar,3,38,3,3,2,4,2,3,2,3,5,2,3,3,1,2
p1889,2024-02-13T13:37:09Z,758,34,Man,White,United States,United States,United States,English,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",7,80,4,4,4,4,4,4,4,4,4,4,4,4,4,4
p1890,2024-04-18T13:22:00Z,1170,37,Man,Asian,India,United States,United States,English,Working part-time,Some University but no degree,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p1896,2024-02-12T16:27:30Z,687,21,Man,Asian,United States,United States,United States,English,Student,Completed Secondary School,7,70,4,4,4,4,3,4,4,4,3,4,4,4,3,4
p1898,2024-02-12T16:00:41Z,542,21,Non-binary,White,United States,United States,United States,English,Working part-time,Some University but no degree,5,74,2,4,3,3,2,4,1,3,2,3,3,3,2,3
p1902,2024-02-14T13:27:52Z,813,32,Woman,Asian,Thailand,United States,Thailand,Thai,Working part-time,University Bachelors Degree,7,71,4,3,3,3,3,4,4,4,3,4,4,4,4,4
p1911,2024-02-14T18:41:23Z,542,33,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,7,72,3,3,2,3,3,4,4,4,4,4,4,5,4,3
p1913,2024-02-12T18:54:37Z,1729,39,Man,Other,United States,United States,United States,English,Working part-time,University Bachelors Degree,2,75,2,3,3,4,4,3,3,3,3,3,3,3,3,3
p1917,2024-02-12T23:10:49Z,513,32,Woman,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,7,40,2,3,3,3,4,3,3,3,3,2,3,2,4,3
p1920,2024-02-14T15:21:04Z,1836,39,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,7,75,4,4,4,4,4,3,4,5,4,4,4,4,4,4
p1923,2024-02-19T00:11:26Z,837,28,Woman,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,6,65,2,3,2,4,3,3,2,3,4,4,3,2,3,3
p1930,2024-02-12T20:59:03Z,573,36,Man,White,United States,United States,United States,English,Not currently employed,Some University but no degree,4,60,4,4,3,3,4,3,5,4,4,4,4,4,4,3
p1937,2024-02-26T23:46:02Z,501,24,Woman,Black,United States,United States,United States,English,A homemaker or stay-at-home parent,Some University but no degree,6,50,5,2,1,3,5,2,4,2,5,4,3,2,4,5
p1938,2024-02-13T18:50:55Z,497,23,Non-binary,Mixed,United States,United States,United States,English,Student,Some University but no degree,5,57,2,3,4,4,3,3,3,4,3,4,3,3,3,3
p1944,2024-02-12T16:43:59Z,962,38,Man,White,United States,United States,Lebanon,English,Working part-time,University Bachelors Degree,4,40,2,3,3,2,3,3,3,3,2,2,2,2,3,2
p1945,2024-04-20T19:18:29Z,916,48,Woman,White,United States,United States,United States,English,Working part-time,University Bachelors Degree,3,45,2,3,1,3,3,3,3,2,3,2,2,2,3,2
p1947,2024-02-13T03:35:35Z,576,21,Woman,Asian,Philippines,United States,Philippines,English,Student,Some University but no degree,4,25,2,2,3,3,4,2,3,3,4,3,3,2,3,3
p1957,2024-02-12T16:54:47Z,796,39,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,4,70,3,3,2,3,2,3,2,3,3,3,2,2,2,3
p1973,2024-02-13T03:33:31Z,581,30,Man,Mixed,United States,United States,United States,English,Working full-time,University Bachelors Degree,5,65,4,3,3,3,2,3,4,2,4,4,4,2,3,3
p1978,2024-02-12T15:02:45Z,793,30,Man,White,United States,United States,United States,English,Working full-time,Completed Secondary School,6,75,5,4,2,5,3,5,4,5,5,4,4,5,4,5
p1983,2024-02-12T15:12:00Z,696,44,Man,White,United States,United States,United States,English,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",4,35,2,3,2,3,3,4,2,3,2,3,3,3,3,2
p1984,2024-02-12T16:21:42Z,1066,30,Woman,White,United States,United States,United States,English,Working full-time,Some University but no degree,4,63,3,3,1,4,3,4,3,3,3,3,3,3,3,3
p1986,2024-02-12T16:29:19Z,1065,41,Woman,Other,United States,United States,United States,English,A homemaker or stay-at-home parent,University Bachelors Degree,6,60,4,3,3,3,2,4,4,4,2,3,2,2,4,4
p1992,2024-02-12T16:03:01Z,468,28,Man,Other,United States,United States,United States,English,Student,Some University but no degree,4,80,4,3,4,4,4,4,3,3,4,3,4,3,3,4
p1993,2024-02-12T18:18:56Z,426,37,Woman,Asian,United States,United States,United States,English,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",6,78,3,3,2,4,4,4,4,4,4,4,4,4,4,4
p2001,2024-02-12T16:53:24Z,331,19,Man,White,United States,United States,United States,English,Not currently employed,Completed Secondary School,6,85,4,4,4,4,4,4,4,4,4,4,4,4,4,4
p2002,2024-02-12T18:26:46Z,1149,36,Man,White,United States,United States,United States,English,Working full-time,Completed Secondary School,2,100,2,4,3,4,4,4,3,2,4,3,3,3,3,3
p2005,2024-02-13T16:29:52Z,799,32,Man,White,United States,United States,United States,English,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",4,60,2,3,1,3,1,4,1,2,2,2,2,3,3,3
p2006,2024-02-14T11:11:00Z,760,38,Man,Asian,United States,United States,United States,Chinese,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",8,100,4,4,4,4,4,4,4,4,4,4,4,4,4,4
p2008,2024-04-18T10:09:03Z,1482,36,Woman,White,United States,United States,United States,English,Working full-time,Some University but no degree,6,70,3,2,1,3,3,5,2,4,3,3,2,2,4,2
p2012,2024-02-16T18:01:02Z,691,28,Woman,White,United States,United States,United States,English,Working full-time,Completed Secondary School,3,63,4,3,4,4,4,4,3,4,2,4,3,2,3,2
p2017,2024-02-13T10:36:09Z,494,29,Woman,White,United States,United States,United States,English,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",6,30,3,2,3,4,2,4,3,3,3,2,3,3,2,3
p2019,2024-02-12T16:15:14Z,812,32,Man,Mixed,United States,United States,United States,English,Working full-time,University Bachelors Degree,8,78,4,4,4,5,3,4,4,4,4,4,4,3,3,4
p2026,2024-02-12T17:04:18Z,495,43,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,5,70,3,3,4,3,4,2,3,4,2,3,3,4,4,3
p2033,2024-02-12T17:07:38Z,536,21,Woman,White,United States,United States,United States,English,Student,Some University but no degree,3,44,1,2,1,1,1,4,3,1,3,5,1,1,2,1
p2037,2024-02-13T02:21:36Z,1116,19,Woman,Asian,United States,United States,United States,Chinese,Student,Completed Secondary School,4,45,1,2,1,2,2,2,3,2,3,3,3,2,3,2
p2057,2024-02-12T19:31:13Z,740,36,Woman,White,United States,United States,United States,English,Working part-time,Some University but no degree,4,40,3,3,3,2,3,2,2,2,4,3,3,2,2,3
p2062,2024-02-13T16:18:48Z,883,19,Man,Asian,Vietnam,United States,Vietnam,Vietnamese,Working part-time,Some University but no degree,4,50,1,2,1,2,2,2,3,1,1,3,1,1,2,1
p2072,2024-02-14T15:17:26Z,836,38,Woman,White,United States,United States,United States,English,A homemaker or stay-at-home parent,Completed Secondary School,6,93,3,3,3,4,4,4,3,3,5,4,3,3,4,4
p2073,2024-02-12T17:21:19Z,1445,32,Woman,Black,United States,United States,United States,English,Working full-time,University Bachelors Degree,5,46,5,3,1,3,2,4,3,2,2,4,4,4,3,2
p2080,2024-02-13T00:10:51Z,1414,35,Woman,White,United States,United States,United States,English,Not currently employed,Completed Secondary School,1,34,2,3,1,4,1,4,2,2,4,2,2,2,2,2
p2089,2024-02-12T18:50:04Z,351,22,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,7,72,2,2,2,3,2,3,3,2,3,2,3,2,3,3
p2094,2024-03-14T01:56:16Z,528,31,Man,Mixed,United States,United States,United States,English,Working full-time,Completed Secondary School,7,92,5,4,4,4,4,3,5,4,4,4,4,4,5,4
p2097,2024-04-01T15:22:52Z,528,36,Man,White,United States,United States,United States,English,Working part-time,University Bachelors Degree,8,86,4,4,4,4,4,4,4,4,4,4,4,4,4,4
p2098,2024-04-01T14:33:38Z,562,42,Man,White,United States,United States,United States,English,Working full-time,Vocational or Similar,6,45,2,3,4,4,2,4,4,2,2,3,2,2,3,3
p2106,2024-02-12T17:46:33Z,498,28,Woman,White,United States,United States,United States,English,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",7,91,5,3,3,4,5,4,4,3,4,3,5,3,5,4
p2109,2024-03-01T15:31:57Z,991,25,Man,Other,United States,United States,United States,English,Working full-time,Some University but no degree,5,70,4,3,3,3,3,3,4,3,2,3,3,3,4,3
p2113,2024-02-12T15:20:28Z,973,38,Man,Black,United States,United States,United States,English,Working full-time,University Bachelors Degree,7,75,5,5,4,5,4,5,5,5,4,5,5,5,5,4
p2143,2024-02-12T15:59:57Z,526,21,Woman,Asian,United States,United States,United States,Vietnamese,Student,Completed Secondary School,5,48,3,4,3,3,2,3,4,3,2,4,3,3,3,3
p2151,2024-02-15T01:39:06Z,439,18,Woman,Asian,Philippines,United States,United States,Tagalog-Filipino,Student,Completed Secondary School,5,60,4,2,3,3,3,4,4,4,2,4,4,4,3,4
p2158,2024-02-12T20:12:33Z,1006,44,Man,White,United States,United States,United States,English,Working full-time,Some University but no degree,4,65,4,3,3,4,4,4,4,3,4,3,3,3,4,4
p2161,2024-02-12T14:35:00Z,1214,40,Man,White,United States,United States,United States,English,Retired,Completed Secondary School,2,71,2,2,2,3,2,3,3,2,3,3,2,2,3,2
p2164,2024-02-13T19:44:15Z,793,37,Woman,Asian,United States,United States,United States,English,Working full-time,University Bachelors Degree,6,60,3,2,2,3,3,3,2,3,2,4,2,2,4,2
p2165,2024-02-13T04:03:17Z,1055,37,Man,White,United States,United States,United States,English,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",4,75,3,3,1,5,5,4,2,4,4,3,3,3,5,3
p2175,2024-02-12T20:03:46Z,799,50,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,5,91,2,4,3,4,4,4,5,4,4,3,3,2,4,3
p2178,2024-02-13T02:18:50Z,768,21,Woman,White,United States,United States,United States,English,Student,Some University but no degree,6,85,4,4,3,4,4,4,3,4,4,4,4,4,4,4
p2184,2024-02-12T16:27:15Z,1365,37,Man,White,United States,United States,United States,English,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",7,88,4,4,4,4,4,4,3,3,4,4,4,4,4,4
p2205,2024-02-12T17:58:10Z,427,24,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,4,75,4,4,4,5,4,5,4,5,4,5,4,4,4,3
p2209,2024-02-12T20:27:32Z,796,36,Woman,White,United States,United States,United States,English,Working part-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",3,20,2,2,2,3,2,3,4,1,2,2,1,2,3,2
p2210,2024-02-12T14:33:36Z,618,29,Man,Mixed,United States,United States,United States,English,Working full-time,University Bachelors Degree,6,90,2,2,3,5,4,5,5,5,4,5,4,3,5,3
p2211,2024-04-08T02:02:57Z,577,30,Woman,White,United States,United States,United States,English,Working full-time,Vocational or Similar,3,43,1,1,2,3,2,4,2,2,2,2,3,2,3,2
p2217,2024-02-23T04:18:32Z,898,33,Man,White,United States,United States,United States,English,Not currently employed,University Bachelors Degree,4,35,2,3,2,3,3,3,3,2,4,3,2,2,3,3
p2224,2024-04-04T16:37:37Z,955,36,Woman,Asian,United States,United States,United States,English,Working part-time,University Bachelors Degree,6,60,3,2,2,3,3,3,4,3,3,3,2,3,4,2
p2229,2024-02-12T21:33:50Z,2710,26,Non-binary,Black,United States,United States,United States,English,Not currently employed,Completed Secondary School,2,35,1,3,4,3,2,3,2,2,4,1,2,2,3,3
p2236,2024-02-13T21:55:43Z,743,31,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,7,75,3,4,2,4,3,4,4,3,3,3,4,3,3,3
p2237,2024-02-12T17:30:47Z,868,27,Woman,White,United States,United States,Brazil,English,Disabled,Completed Secondary School,5,73,2,3,3,4,5,5,4,3,5,3,1,1,2,2
p2238,2024-02-12T16:00:10Z,1163,36,Woman,Black,United States,United States,United States,English,Working part-time,Vocational or Similar,6,81,1,2,2,5,4,3,3,4,5,2,2,1,4,2
p2240,2024-02-13T22:17:54Z,648,21,Woman,White,United States,United States,United States,English,Not currently employed,Vocational or Similar,5,35,2,3,3,3,3,3,3,2,3,2,1,1,3,2
p2247,2024-02-12T17:02:41Z,454,25,Non-binary,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,3,50,2,3,2,3,3,3,3,2,4,2,2,2,3,3
p2253,2024-02-12T16:38:22Z,749,31,Man,White,United States,United States,United States,English,Not currently employed,University Bachelors Degree,4,28,2,2,2,3,3,3,2,2,3,3,2,2,3,2
p2257,2024-02-12T16:57:50Z,444,35,Man,Mixed,United States,United States,United States,English,Not currently employed,Vocational or Similar,3,65,2,2,2,3,3,3,3,2,3,3,3,2,3,2
p2262,2024-02-13T02:02:17Z,720,43,Woman,White,United States,United States,United States,English,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",8,95,4,4,3,4,3,5,3,4,1,4,3,4,5,3
p2264,2024-02-12T21:03:22Z,803,32,Woman,Other,United States,United States,United States,English,A homemaker or stay-at-home parent,Completed Secondary School,4,60,2,2,3,3,2,3,4,3,3,3,2,3,2,3
p2268,2024-02-12T17:49:52Z,860,24,Man,White,United States,United States,United States,English,Working part-time,Completed Secondary School,4,36,4,4,3,3,5,5,4,3,4,3,3,2,4,3
p2275,2024-02-12T21:25:48Z,780,62,Man,White,United States,United States,United States,English,Retired,University Bachelors Degree,10,100,5,5,5,5,5,4,3,5,3,5,5,5,5,5
p2280,2024-02-12T22:04:57Z,1471,35,Man,White,United States,United States,United States,English,Working full-time,Completed Secondary School,5,65,3,3,3,2,4,2,2,3,4,3,3,2,4,4
p2299,2024-02-25T19:47:04Z,409,29,Woman,Asian,United States,United States,United States,English,Working full-time,University Bachelors Degree,4,31,3,3,3,3,3,3,3,3,3,3,3,3,2,3
p2302,2024-02-26T17:21:59Z,745,22,Man,White,United States,United States,United States,English,Working full-time,Some University but no degree,4,63,3,3,3,3,4,3,4,3,4,3,3,3,4,3
p2303,2024-02-12T16:27:25Z,334,36,Man,White,United States,United States,United States,English,A homemaker or stay-at-home parent,Completed Secondary School,1,2,1,1,2,3,2,2,4,1,4,2,1,1,2,2
p2312,2024-03-12T03:06:20Z,534,32,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,7,72,4,3,2,3,4,4,4,3,4,4,4,4,4,4
p2314,2024-04-26T12:42:37Z,685,32,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,6,78,5,5,3,5,5,4,2,3,3,4,4,3,5,4
p2324,2024-02-12T20:58:53Z,1109,30,Man,Asian,Taiwan,United States,United States,Mandarin,Working part-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",3,30,2,2,2,2,1,4,2,1,2,2,1,2,2,2
p2328,2024-02-13T15:09:15Z,676,28,Man,White,United States,United States,United States,English,Not currently employed,Completed Secondary School,4,80,3,3,2,4,3,4,4,2,3,4,3,2,3,3
p2331,2024-02-15T13:39:36Z,578,41,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,5,5,1,1,1,2,1,3,2,1,1,2,1,2,3,1
p2335,2024-02-12T22:43:13Z,685,20,Man,Mixed,United States,United States,United States,English,Student,Some University but no degree,6,85,4,4,3,4,4,4,4,4,4,4,4,4,4,4
p2353,2024-02-17T18:04:52Z,998,27,Man,Mixed,United States,United States,United States,English,Working full-time,University Bachelors Degree,5,88,3,3,3,3,3,4,4,4,4,4,3,3,5,4
p2354,2024-02-12T17:58:05Z,662,39,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,5,100,3,5,5,4,4,5,2,4,2,1,5,5,5,5
p2377,2024-03-09T19:04:05Z,684,32,Man,Other,United States,United States,United States,English,Not currently employed,Some University but no degree,2,83,3,3,3,4,3,3,3,4,2,3,3,3,4,3
p2379,2024-02-16T01:33:42Z,1226,37,Man,Black,Canada,United States,United States,English,Working full-time,University Bachelors Degree,6,92,2,4,3,3,4,4,2,3,3,4,4,3,4,4
p2387,2024-02-12T21:41:11Z,1500,30,Man,Mixed,United States,United States,United States,English,Working full-time,University Bachelors Degree,3,25,3,2,2,2,3,4,2,2,3,3,3,3,3,3
p2388,2024-04-01T18:42:12Z,804,36,Man,White,United States,United States,United States,English,Working full-time,Some University but no degree,3,80,3,3,3,3,2,3,3,3,2,3,3,3,3,3
p2389,2024-05-02T18:10:42Z,1073,28,Man,White,United States,United States,United States,English,Working full-time,Some University but no degree,6,69,4,4,4,4,4,4,5,3,4,3,3,3,5,4
p2400,2024-02-12T16:27:05Z,869,30,Man,Asian,United States,United States,United States,Vietnamese,Working part-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",7,51,4,4,4,3,3,4,3,3,3,3,3,3,3,3
p2401,2024-02-16T21:52:20Z,554,27,Man,White,United States,United States,United States,English,Not currently employed,Some University but no degree,4,77,2,2,2,4,3,4,4,4,3,4,3,3,2,3
p2405,2024-02-12T16:19:53Z,713,32,Woman,White,United States,United States,United States,English,Working part-time,University Bachelors Degree,8,100,4,4,3,4,4,5,2,5,4,5,5,5,5,4
p2407,2024-02-12T15:28:46Z,1113,28,Man,Asian,Philippines,United States,United States,Tagalog-Filipino,Working full-time,University Bachelors Degree,4,50,3,4,3,3,4,3,3,3,4,4,4,3,4,3
p2411,2024-02-16T15:41:54Z,476,28,Woman,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,5,50,2,2,1,4,2,5,3,3,2,4,2,3,4,2
p2413,2024-02-12T22:35:25Z,624,27,Man,White,United States,United States,United States,English,Not currently employed,University Bachelors Degree,3,70,1,1,2,3,3,3,2,2,4,2,1,2,2,3
p2415,2024-02-12T20:17:17Z,706,27,Man,White,United States,United States,United States,English,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",6,62,3,4,3,4,3,4,4,3,4,4,3,3,3,3
p2425,2024-02-14T00:09:55Z,1334,28,Woman,White,United States,United States,United States,English,Working part-time,Completed Secondary School,4,40,2,3,2,3,2,4,3,2,2,3,3,2,4,2
p2427,2024-02-12T17:55:44Z,669,35,Man,Black,United States,United States,United States,English,Working full-time,Completed Secondary School,0,92,5,4,5,5,5,5,4,5,5,5,4,3,4,5
p2433,2024-02-12T18:16:25Z,1008,40,Woman,White,United States,United States,United States,English,A homemaker or stay-at-home parent,Some University but no degree,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1
p2434,2024-02-13T11:39:10Z,761,39,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,5,66,3,4,3,4,4,4,4,3,3,3,3,5,4,3
p2437,2024-02-13T05:44:39Z,1252,36,Woman,Mixed,United States,United States,United States,English,Not currently employed,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",6,40,2,3,2,2,3,2,2,3,3,3,2,2,3,3
p2439,2024-02-12T20:46:49Z,858,24,Woman,White,United States,United States,United States,English,Working part-time,Completed Secondary School,5,61,4,3,3,2,3,3,3,3,3,2,2,3,3,3
p2443,2024-02-12T16:42:38Z,1337,28,Woman,White,United States,United States,United States,English,Working part-time,Some University but no degree,2,40,1,2,1,2,2,3,2,2,3,2,2,2,3,2
p2449,2024-02-13T18:27:39Z,386,43,Woman,White,United States,United States,United States,English,Disabled,Some University but no degree,5,73,4,3,3,4,5,5,3,3,5,4,4,3,4,3
p2452,2024-02-12T18:02:21Z,536,19,Man,White,United States,United States,United States,Spanish,Student,Completed Secondary School,5,62,2,4,3,3,3,3,2,3,3,3,2,3,3,3
p2454,2024-02-13T12:59:10Z,883,37,Man,White,United States,United States,United States,Spanish,A homemaker or stay-at-home parent,Some University but no degree,5,93,4,4,4,4,4,4,4,4,4,4,4,4,4,4
p2462,2024-02-12T19:09:29Z,503,24,Woman,White,United States,United States,United States,English,Working part-time,University Bachelors Degree,7,54,3,3,2,4,3,4,2,3,3,3,3,2,2,3
p2467,2024-02-19T18:20:53Z,687,21,Woman,Black,United States,United States,United States,English,Student,Some University but no degree,6,50,5,4,1,2,4,2,5,4,4,4,4,4,2,5
p2469,2024-02-12T23:03:07Z,1140,35,Man,Mixed,United States,United States,United States,English,Not currently employed,University Bachelors Degree,4,68,2,4,3,4,2,4,4,2,2,3,3,3,3,3
p2480,2024-04-11T01:37:20Z,810,40,Man,White,United States,United States,United States,English,Working full-time,Vocational or Similar,2,30,3,3,1,3,2,3,1,2,2,3,1,1,1,2
p2497,2024-02-13T18:46:45Z,644,22,Woman,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,10,100,4,5,5,5,5,5,5,5,5,5,5,5,5,5
p2498,2024-02-13T08:24:08Z,863,29,Man,Asian,United States,United States,United States,English,Working full-time,University Bachelors Degree,6,40,4,2,3,3,2,3,4,3,2,4,4,2,4,3
p2504,2024-02-12T18:17:14Z,704,23,Woman,White,United States,United States,United States,English,Working part-time,Vocational or Similar,6,68,3,3,3,5,2,4,3,3,2,3,3,4,2,3
p2509,2024-02-12T15:52:00Z,2581,29,Man,White,United States,United States,United States,English,Working full-time,Completed Secondary School,5,45,4,3,3,4,3,4,4,4,3,3,4,3,3,3
p2516,2024-02-22T01:56:20Z,712,38,Woman,White,United States,United States,United States,English,Working full-time,Completed Secondary School,5,30,3,3,3,3,3,3,4,3,4,4,3,3,4,4
p2527,2024-02-20T17:31:18Z,447,25,Woman,White,United States,United States,United States,English,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",7,80,4,3,5,3,5,4,3,4,4,3,4,3,4,4
p2529,2024-02-12T14:28:38Z,790,27,Man,White,United States,United States,United States,English,Working full-time,Some University but no degree,6,79,2,3,3,3,3,4,4,4,3,3,4,4,4,4
p2532,2024-02-12T15:26:53Z,2093,31,Woman,White,United States,United States,United States,English,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",3,45,2,2,1,2,2,2,2,2,3,2,2,2,2,2
p2536,2024-02-13T04:51:21Z,576,27,Man,White,United States,United States,United States,Spanish,Working full-time,University Bachelors Degree,7,85,4,4,3,4,5,4,4,4,4,1,4,4,5,4
p2538,2024-02-12T21:45:11Z,1061,29,Woman,White,United States,United States,United States,English,Student,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",4,49,2,4,2,4,4,4,2,3,4,4,3,4,5,2
p2551,2024-02-12T21:35:23Z,778,19,Woman,Other,United States,United States,Puerto Rico,English,Student,Some University but no degree,3,54,3,3,2,4,4,3,4,3,3,3,3,3,2,3
p2557,2024-02-15T00:25:33Z,771,32,Woman,Asian,United States,United States,United States,Chinese,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",8,50,4,2,2,4,4,4,3,4,3,3,4,4,5,4
p2566,2024-02-13T18:54:35Z,725,42,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,6,91,4,4,3,3,4,4,4,4,5,4,4,3,4,4
p2580,2024-02-12T17:08:39Z,851,29,Woman,Other,Mexico,United States,United States,Spanish,Working full-time,Vocational or Similar,6,60,4,3,3,3,4,4,4,3,3,3,3,3,4,2
p2595,2024-02-12T17:26:17Z,903,26,Woman,White,United States,United States,United States,English,Not currently employed,Completed Secondary School,3,40,1,2,2,2,3,2,2,1,3,2,1,1,3,2
p2596,2024-03-04T22:31:13Z,649,26,Man,White,United States,United States,United States,English,Working part-time,University Bachelors Degree,4,70,2,3,2,2,2,3,3,3,4,3,2,2,1,2
p2597,2024-02-23T15:34:07Z,662,31,Woman,Mixed,United States,United States,United States,English,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",5,71,4,1,2,4,5,3,4,5,4,5,4,3,5,4
p2600,2024-02-17T02:27:35Z,712,30,Man,Black,United States,United States,United States,English,Working full-time,University Bachelors Degree,4,81,3,3,2,3,2,2,2,3,3,4,3,4,4,3
p2608,2024-02-13T01:30:53Z,952,23,Woman,Asian,United States,United States,United States,Tagalog-Filipino,Working part-time,University Bachelors Degree,4,41,2,2,2,2,2,2,3,2,3,1,2,2,2,2
p2613,2024-02-14T21:58:29Z,731,32,Man,White,United States,United States,United States,English,Working part-time,University Bachelors Degree,2,50,1,4,3,4,2,5,3,3,3,4,3,3,4,3
